<program>	{ piece, chars, sip, flag, table, id, prepare, start }
<global_decl>	{ piece, chars, sip, flag, table, id, λ }
<piece_decl>	{ of, [ }
<piece_id>	{ id }
<piece_ingredient_init>	{ =, λ }
<strict_piece_expr>	{ topiece, size, search, fact, pow, piece_lit, id, ( }
<strict_piece_term>	{ topiece, size, search, fact, pow, piece_lit, id, ( }
<strict_piece_factor>	{ topiece, size, search, fact, pow, piece_lit, id, ( }
<ret_piece>	{ topiece, size, search, fact, pow, piece_lit }
<any_expr>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, matches, toflag, flag_lit, (, not }
<id>	{ id }
<id_tail>	{ (, λ, [, : }
<call_tailopt>	{ (, λ }
<flavor>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, matches, toflag, flag_lit, (, not, append, sort, reverse, remove, [, λ }
<value>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, matches, toflag, flag_lit, (, not, append, sort, reverse, remove, [ }
<ret_array>	{ append, sort, reverse, remove }
<strict_array_expr>	{ [, id, append, sort, reverse, remove }
<array_element_id>	{ id, piece_lit, sip_lit, flag_lit, chars_lit, [, λ }
<element_value_tail>	{ ,, λ }
<array_element>	{ piece_lit, sip_lit, flag_lit, chars_lit, [ }
<notation_val>	{ piece_lit, sip_lit, flag_lit, chars_lit, [, id, λ }
<array_or_table>	{ ,, =, λ }
<field_assignments>	{ id, λ }
<flavor_tail>	{ ,, λ }
<accessor_tail>	{ [, :, λ }
<array_accessor>	{ [ }
<array_accessor_val>	{ piece_lit, id }
<table_accessor>	{ : }
<univ_ambig_tail>	{ +, -, *, /, %, ==, !=, >, <, >=, <=, and, or, λ }
<univ_ambig_branch>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, ( }
<univ_piece_tail>	{ +, -, *, /, %, ==, !=, >, <, >=, <=, λ }
<rel_op>	{ ==, !=, >, <, >=, <= }
<univ_bool_tail>	{ and, or, λ }
<strict_flag_expr>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, matches, toflag, flag_lit, not, ( }
<strict_flag_term>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, matches, toflag, flag_lit, not, ( }
<strict_flag_factor>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, matches, toflag, flag_lit, not, ( }
<lhs_ambig_tail>	{ +, -, *, /, %, ==, !=, >, <, >=, <=, and, or, λ }
<ambig_calc_branch>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, ( }
<lhs_ambig_tail_no_lambda>	{ +, -, *, /, %, ==, !=, >, <, >=, <= }
<lhs_piece_tail>	{ +, -, *, /, %, ==, !=, >, <, >=, <= }
<strict_ambig_rhs>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, (, matches, toflag, flag_lit }
<val_ambig_tail>	{ +, -, *, /, %, λ }
<paren_ambig_branch_val>	{ id, topiece, size, search, fact, pow, piece_lit, sqrt, rand, tosip, sip_lit, bill, take, copy, cut, tochars, chars_lit, ( }
<paren_ambig_tail_val>	{ +, -, *, /, %, ), ==, !=, >, <, >=, <=, λ }
<paren_piece_tail_val>	{ +, -, *, /, %, ) }
<val_piece_tail>	{ +, -, *, /, %, λ }
<lhs_flag_comp_tail>	{ ==, !=, >, <, >=, <=, λ }
<ret_sip>	{ sqrt, rand, tosip, sip_lit }
<paren_sip_tail_val>	{ +, -, *, /, ) }
<strict_sip_factor>	{ id, sqrt, rand, tosip, sip_lit, ( }
<strict_sip_expr>	{ id, sqrt, rand, tosip, sip_lit, ( }
<strict_sip_term>	{ id, sqrt, rand, tosip, sip_lit, ( }
<strict_sip_mult_tail>	{ *, /, λ }
<strict_sip_add_tail>	{ +, -, λ }
<val_sip_tail>	{ +, -, *, /, %, λ }
<ret_chars>	{ bill, take, copy, cut, tochars, chars_lit }
<strict_chars_expr>	{ bill, take, copy, cut, tochars, chars_lit, id, ( }
<strict_chars_factor>	{ bill, take, copy, cut, tochars, chars_lit, id, ( }
